year,siteID,miss,miss45
2002,CA-NS1,FALSE,FALSE
2003,CA-NS1,FALSE,FALSE
2004,CA-NS1,FALSE,FALSE
2005,CA-NS1,FALSE,FALSE
2006,CA-NS1,TRUE,TRUE
2007,CA-NS1,TRUE,TRUE
2008,CA-NS1,TRUE,TRUE
2009,CA-NS1,TRUE,TRUE
2010,CA-NS1,TRUE,TRUE
2011,CA-NS1,TRUE,TRUE
2012,CA-NS1,TRUE,TRUE
2013,CA-NS1,TRUE,TRUE
2014,CA-NS1,TRUE,TRUE
2001,CA-NS2,FALSE,FALSE
2002,CA-NS2,FALSE,FALSE
2003,CA-NS2,FALSE,FALSE
2004,CA-NS2,FALSE,FALSE
2005,CA-NS2,FALSE,FALSE
2006,CA-NS2,TRUE,TRUE
2007,CA-NS2,TRUE,TRUE
2008,CA-NS2,TRUE,TRUE
2009,CA-NS2,TRUE,TRUE
2010,CA-NS2,TRUE,TRUE
2011,CA-NS2,TRUE,TRUE
2012,CA-NS2,TRUE,TRUE
2013,CA-NS2,TRUE,TRUE
2014,CA-NS2,TRUE,TRUE
2001,CA-NS3,FALSE,FALSE
2002,CA-NS3,FALSE,FALSE
2003,CA-NS3,FALSE,FALSE
2004,CA-NS3,FALSE,FALSE
2005,CA-NS3,FALSE,FALSE
2006,CA-NS3,TRUE,TRUE
2007,CA-NS3,TRUE,TRUE
2008,CA-NS3,TRUE,TRUE
2009,CA-NS3,TRUE,TRUE
2010,CA-NS3,TRUE,TRUE
2011,CA-NS3,TRUE,TRUE
2012,CA-NS3,TRUE,TRUE
2013,CA-NS3,TRUE,TRUE
2014,CA-NS3,TRUE,TRUE
2002,CA-NS4,FALSE,FALSE
2003,CA-NS4,FALSE,FALSE
2004,CA-NS4,FALSE,FALSE
2005,CA-NS4,FALSE,FALSE
2001,CA-NS4,TRUE,TRUE
2006,CA-NS4,TRUE,TRUE
2007,CA-NS4,TRUE,TRUE
2008,CA-NS4,TRUE,TRUE
2009,CA-NS4,TRUE,TRUE
2010,CA-NS4,TRUE,TRUE
2011,CA-NS4,TRUE,TRUE
2012,CA-NS4,TRUE,TRUE
2013,CA-NS4,TRUE,TRUE
2014,CA-NS4,TRUE,TRUE
2001,CA-NS5,FALSE,FALSE
2002,CA-NS5,FALSE,FALSE
2003,CA-NS5,FALSE,FALSE
2004,CA-NS5,FALSE,FALSE
2005,CA-NS5,FALSE,FALSE
2006,CA-NS5,TRUE,TRUE
2007,CA-NS5,TRUE,TRUE
2008,CA-NS5,TRUE,TRUE
2009,CA-NS5,TRUE,TRUE
2010,CA-NS5,TRUE,TRUE
2011,CA-NS5,TRUE,TRUE
2012,CA-NS5,TRUE,TRUE
2013,CA-NS5,TRUE,TRUE
2014,CA-NS5,TRUE,TRUE
2001,CA-NS6,FALSE,FALSE
2002,CA-NS6,FALSE,FALSE
2003,CA-NS6,FALSE,FALSE
2004,CA-NS6,FALSE,FALSE
2005,CA-NS6,FALSE,FALSE
2006,CA-NS6,TRUE,TRUE
2007,CA-NS6,TRUE,TRUE
2008,CA-NS6,TRUE,TRUE
2009,CA-NS6,TRUE,TRUE
2010,CA-NS6,TRUE,TRUE
2011,CA-NS6,TRUE,TRUE
2012,CA-NS6,TRUE,TRUE
2013,CA-NS6,TRUE,TRUE
2014,CA-NS6,TRUE,TRUE
2002,CA-NS7,FALSE,FALSE
2003,CA-NS7,FALSE,FALSE
2004,CA-NS7,FALSE,FALSE
2005,CA-NS7,FALSE,FALSE
2001,CA-NS7,TRUE,TRUE
2006,CA-NS7,TRUE,TRUE
2007,CA-NS7,TRUE,TRUE
2008,CA-NS7,TRUE,TRUE
