"","site","year","f_gup_1","m_gup_1","f_gup_2","m_gup_2","f_midgup_1","m_midgup_1","f_midgup_2","m_midgup_2","f_maturity_1","m_maturity_1","f_maturity_2","m_maturity_2","f_peak_1","m_peak_1","f_peak_2","m_peak_2","f_sene_1","m_sene_1","f_sene_2","m_sene_2","f_midgdown_1","m_midgdown_1","f_midgdown_2","m_midgdown_2","f_dormancy_1","m_dormancy_1","f_dormancy_2","m_dormancy_2","f_gppmin_1","m_EVImin_1","f_gppmin_2","m_EVImin_2","f_gppamp_1","m_EVIamp_1","f_gppamp_2","m_EVIamp_2","f_gpparea_1","m_EVIarea_1","f_gpparea_2","m_EVIarea_2","IGBP","miss","miss45"
"302","DE-Tha","2009",14314,14336,NA,NA,14339,14357,NA,NA,14425,14385,NA,NA,14454,14426,NA,NA,14477,14472,NA,NA,14513,14532,NA,NA,14578,14605,NA,NA,0,0.2273,NA,NA,11,0.1867,NA,NA,1177.3,13.1,NA,NA,"ENF",FALSE,FALSE
"303","DE-Tha","2010",14680,14657,NA,NA,14722,14731,NA,NA,14770,14762,NA,NA,14784,14782,NA,NA,14802,14816,NA,NA,14873,14900,NA,NA,14926,14922,NA,NA,0,0.1645,NA,NA,13,0.289,NA,NA,832.9,19,NA,NA,"ENF",FALSE,FALSE
"304","DE-Tha","2011",15038,14972,NA,NA,15066,15087,NA,NA,15105,15118,NA,NA,15126,15137,NA,NA,15202,15160,NA,NA,15253,15257,NA,NA,15289,15305,NA,NA,0,0.1784,NA,NA,10,0.2795,NA,NA,629,20.1,NA,NA,"ENF",FALSE,FALSE
"305","DE-Tha","2012",15408,15429,NA,NA,15445,15459,NA,NA,15478,15512,NA,NA,15508,15530,NA,NA,15530,15548,NA,NA,15618,15613,NA,NA,15648,15666,NA,NA,0,0.2268,NA,NA,11,0.2317,NA,NA,761.9,16.6,NA,NA,"ENF",FALSE,FALSE
"306","DE-Tha","2013",15799,15813,NA,NA,15818,15838,NA,NA,15875,15869,NA,NA,15893,15891,NA,NA,15910,15913,NA,NA,15959,15970,NA,NA,16014,16011,NA,NA,0,0.2303,NA,NA,12,0.2201,NA,NA,781.1,12.6,NA,NA,"ENF",FALSE,FALSE
"307","DE-Tha","2014",16120,16157,NA,NA,16163,16179,NA,NA,16225,16203,NA,NA,16241,16240,NA,NA,16278,16272,NA,NA,16327,16297,NA,NA,16387,16387,NA,NA,1,0.2565,NA,NA,11,0.1822,NA,NA,812.5,11.4,NA,NA,"ENF",FALSE,FALSE
"308","DK-Fou","2005",12865,12892,NA,NA,12962,12933,NA,NA,13000,12980,NA,NA,13017,13014,NA,NA,13030,13043,NA,NA,13052,13085,NA,NA,13090,13123,NA,NA,0,0.2874,NA,NA,8,0.2758,NA,NA,588.6,22.6,NA,NA,"CRO",FALSE,FALSE
"309","DK-Sor","2001",11434,11435,NA,NA,11455,11454,NA,NA,11481,11477,NA,NA,11500,11495,NA,NA,11517,11516,NA,NA,11566,11577,NA,NA,11618,11629,NA,NA,0,0.2537,NA,NA,15,0.3548,NA,NA,689.6,15,NA,NA,"DBF",FALSE,FALSE
"310","DK-Sor","2002",11793,11776,NA,NA,11814,11805,NA,NA,11835,11829,NA,NA,11852,11852,NA,NA,11874,11878,NA,NA,11936,11983,NA,NA,11972,12025,NA,NA,0,0.2312,NA,NA,14,0.3711,NA,NA,589,20.5,NA,NA,"DBF",FALSE,FALSE
"311","DK-Sor","2003",12157,12087,NA,NA,12182,12174,NA,NA,12204,12203,NA,NA,12218,12228,NA,NA,12237,12247,NA,NA,12275,12335,NA,NA,12338,12368,NA,NA,0,0.12,NA,NA,16,0.5235,NA,NA,634.9,36,NA,NA,"DBF",FALSE,FALSE
